Title,Cast
Dancer in the Dark,"Björk, Catherine Deneuve, David Morse, Peter Stormare"
Daddy Day Care,"Eddie Murphy, Jeff Garlin, Anjelica Huston, Steve Zahn"
If I Stay,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley, Joshua Leonard"
Paycheck,"Ben Affleck, Aaron Eckhart, Uma Thurman, Michael C. Hall"
Cujo,"Dee Wallace, Daniel Hugh Kelly, Danny Pintauro, Christopher Stone"
Stealth,"Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard"
National Treasure: Book of Secrets,"Nicolas Cage, Diane Kruger, Justin Bartha, Jon Voight"
Hotel Transylvania 2,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James"
American Wedding,"Jason Biggs, Alyson Hannigan, Seann William Scott, Eugene Levy"
Pompeii,"Kit Harington, Emily Browning, Kiefer Sutherland, Adewale Akinnuoye-Agbaje"
The Ice Storm,"Kevin Kline, Joan Allen, Sigourney Weaver, Henry Czerny"
Honey Boy,"Shia LaBeouf, Lucas Hedges, Noah Jupe, Byron Bowers"
The Brood,"Oliver Reed, Samantha Eggar, Art Hindle, Henry Beckman"
Things Heard & Seen,"Robert Pulcini, Amanda Seyfried, James Norton, Natalia Dyer, Alex Neustaedter"
Walk Hard: The Dewey Cox Story,"John C. Reilly, Jenna Fischer, David Krumholtz, Nat Faxon"
Popstar: Never Stop Never Stopping,"Jorma Taccone, Andy Samberg, Jorma Taccone, Akiva Schaffer, Sarah Silverman"
The Changeling,"George C. Scott, Trish Van Devere, Melvyn Douglas, Jean Marsh"
Unlocked,"Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich"
The Professor,"Johnny Depp, Rosemarie DeWitt, Odessa Young, Danny Huston"
Ace Ventura: When Nature Calls,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi"
The Karate Kid Part II,"Pat Morita, Ralph Macchio, Pat E. Johnson, Bruce Malmuth"
The Hangover Part III,"Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha"
Three Identical Strangers,"Robert Shafran, Michael Domnitz, Howard Schneider, Ellen Cervone"
Freeway,"Reese Witherspoon, Kiefer Sutherland, Bokeem Woodbine, Paul Perri"
Kiss the Girls,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur"
The Purge: Election Year,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, J.J. Soria"
A Single Man,"Colin Firth, Julianne Moore, Matthew Goode, Nicholas Hoult"
The Great Gatsby,"Robert Redford, Mia Farrow, Bruce Dern, Karen Black"
Yentl,"Barbra Streisand, Amy Irving, Mandy Patinkin, Nehemiah Persoff"
Ghosts of Mars,"Natasha Henstridge, Ice Cube, Pam Grier, Jason Statham"
The Water Diviner,"Russell Crowe, Olga Kurylenko, Jai Courtney, Isabel Lucas"
Fire and Ice,"Randy Norton, Cynthia Leake, Steve Sandor, Sean Hannon"
Uptown Girls,"Brittany Murphy, Dakota Fanning, Heather Locklear, Jesse Spencer"
R.I.P.D.,"Ryan Reynolds, Jeff Bridges, Mary-Louise Parker, Kevin Bacon"
Jaws: The Revenge,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young"
Lethal Weapon 2,"Mel Gibson, Danny Glover, Joe Pesci, Patsy Kensit"
Dragged Across Concrete,"Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White"
Maggie Moore(s),"Jon Hamm, Tina Fey, Micah Stock, Nick Mohammed"
Day of the Dead,"Lori Cardille, Terry Alexander, Joseph Pilato, Jarlath Conroy"
Armageddon Time,"Anne Hathaway, Jeremy Strong, Banks Repeta, Jaylin Webb"
Dangerous Minds,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett"
Outbreak,"Dustin Hoffman, Rene Russo, Morgan Freeman, Kevin Spacey"
The Thomas Crown Affair,"Steve McQueen, Faye Dunaway, Paul Burke, Jack Weston"
Billionaire Boys Club,"Ansel Elgort, Kevin Spacey, Taron Egerton, Emma Roberts"
The Dead Zone,"Christopher Walken, Brooke Adams, Tom Skerritt, Herbert Lom"
No One Gets Out Alive,"Phil Robertson, Joana Borja, Victoria Alcock, Cristina Rodlo"
The Midnight Meat Train,"Vinnie Jones, Bradley Cooper, Leslie Bibb, Brooke Shields"
Working Girl,"Melanie Griffith, Harrison Ford, Sigourney Weaver, Alec Baldwin"
Society,"Billy Warlock, Concetta D'Agnese, Ben Slack, Evan Richards"
Cobra,"Sylvester Stallone, Brigitte Nielsen, Reni Santoni, Andrew Robinson"
The Life of David Gale,"Kevin Spacey, Kate Winslet, Laura Linney, Cleo King"
Kickboxer,"David Worth, Jean-Claude Van Damme, Dennis Alexio, Dennis Chan, Michel Qissi"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Paige Turco, David Warner, Michelan Sisti, Leif Tilden"
The Adventures of Baron Munchausen,"John Neville, Eric Idle, Sarah Polley, Oliver Reed"
Aquamarine,"Emma Roberts, JoJo, Sara Paxton, Jake McDorman"
The Haunting,"Liam Neeson, Catherine Zeta-Jones, Owen Wilson, Lili Taylor"
Snake Eyes,"Nicolas Cage, Gary Sinise, John Heard, Carla Gugino"
Out of the Blue,"Diane Kruger, Ray Nicholson, Gia Crovatin, Hank Azaria"
Walkabout,"Jenny Agutter, David Gulpilil, Luc Roeg, John Meillon"
Conviction,"Hilary Swank, Sam Rockwell, Melissa Leo, Thomas D. Mahard"
The Replacements,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones"
Ben-Hur,"Jack Huston, Toby Kebbell, Rodrigo Santoro, Nazanin Boniadi"
The Fisher King,"Jeff Bridges, Robin Williams, Adam Bryant, Paul Lombardi"
The Wild Bunch,"William Holden, Ernest Borgnine, Robert Ryan, Edmond O'Brien"
Vengeance,"B.J. Novak, Boyd Holbrook, Lio Tipton, Ashton Kutcher"
The Last Seduction,"Linda Fiorentino, Peter Berg, Bill Pullman, Michael Raysses"
BASEketball,"Trey Parker, Matt Stone, Dian Bachar, Yasmine Bleeth"
The Blackening,"Grace Byers, Jermaine Fowler, Melvin Gregg, X Mayo"
Basic Instinct 2,"Sharon Stone, David Morrissey, David Thewlis, Stan Collymore"
Private Parts,"Howard Stern, Mary McCormack, Robin Quivers, Fred Norris"
My Summer of Love,"Natalie Press, Emily Blunt, Paddy Considine, Dean Andrews"
Frankenstein,"Colin Clive, Mae Clarke, Boris Karloff, John Boles"
Next,"Nicolas Cage, Julianne Moore, Jessica Biel, Thomas Kretschmann"
YellowBrickRoad,"Andy Mitton, Michael Laurino, Anessa Ramsey, Alex Draper, Cassidy Freeman"
Ikiru,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka"
Diamonds Are Forever,"Sean Connery, Jill St. John, Charles Gray, Lana Wood"
Book Club: The Next Chapter,"Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen"
February,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar"
Phone Booth,"Colin Farrell, Kiefer Sutherland, Forest Whitaker, Radha Mitchell"
Ice Age: Dawn of the Dinosaurs,"Michael Thurmeier, Ray Romano, John Leguizamo, Denis Leary, Eunice Cho"
A Scanner Darkly,"Keanu Reeves, Winona Ryder, Robert Downey Jr., Rory Cochrane"
Intrusion,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly"
White Men Can't Jump,"Wesley Snipes, Woody Harrelson, Rosie Perez, Tyra Ferrell"
"South Park: Bigger, Longer & Uncut","Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes"
Due Date,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx"
The Best Exotic Marigold Hotel,"Judi Dench, Bill Nighy, Maggie Smith, Tom Wilkinson"
The Box,"Cameron Diaz, James Marsden, Frank Langella, James Rebhorn"
The Omen,"Liev Schreiber, Julia Stiles, Seamus Davey-Fitzpatrick, David Thewlis"
Brideshead Revisited,"Matthew Goode, Patrick Malahide, Hayley Atwell, Thomas Morrison"
Candyman,"Virginia Madsen, Xander Berkeley, Tony Todd, Kasi Lemmons"
Manodrome,"Jesse Eisenberg, Adrien Brody, Odessa Young, Philip Ettinger"
Victor Frankenstein,"Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott"
Catwoman,"Halle Berry, Sharon Stone, Benjamin Bratt, Lambert Wilson"
The Italian Job,"Michael Caine, Noël Coward, Benny Hill, Raf Vallone"
Phenomena,"Jennifer Connelly, Donald Pleasence, Daria Nicolodi, Dalila Di Lazzaro"
Keeping Up with the Joneses,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot"
Look Both Ways,"Lili Reinhart, Danny Ramirez, Aisha Dee, Jaden Tolliver"
Pinocchio,"T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen, Dickie Jones, Christian Rub, Mel Blanc, Don Brodie"
Blood Red Sky,"Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti"
Tower Heist,"Eddie Murphy, Ben Stiller, Casey Affleck, Alan Alda"
Book Club,"Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen"
The Last King of Scotland,"James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington"
Son of the Mask,"Jamie Kennedy, Traylor Howard, Alan Cumming, Liam Falconer"
Midnight in the Garden of Good and Evil,"John Cusack, Kevin Spacey, Jack Thompson, Irma P. Hall"
Seven Pounds,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy"
Fitting In,"Maddie Ziegler, Emily Hampshire, Djouliet Amara, D'Pharaoh Woon-A-Tai"
Damage,"Jeremy Irons, Juliette Binoche, Miranda Richardson, Rupert Graves"
National Anthem,"Charlie Plummer, Eve Lindley, Rene Rosado, Mason Alexander Park"
Midnight Express,"Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli"
House of Sand and Fog,"Jennifer Connelly, Ben Kingsley, Ron Eldard, Frances Fisher"
Horton Hears a Who!,"Steve Martino, Jim Carrey, Steve Carell, Carol Burnett, Will Arnett"
Half Baked,"Dave Chappelle, Guillermo Diaz, Jim Breuer, Harland Williams"
The Assistant,"Julia Garner, Owen Holland, Jon Orsini, Rory Kulz"
Jaws 3-D,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr."
Patton,"George C. Scott, Karl Malden, Stephen Young, Michael Strong"
The Time Machine,"Rod Taylor, Alan Young, Yvette Mimieux, Sebastian Cabot"
Marley & Me,"Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner"
The Mosquito Coast,"Harrison Ford, Helen Mirren, River Phoenix, Jadrien Steele"
Naked Gun 33 1/3: The Final Insult,"Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson"
La dolce vita,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux"
City Lights,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers"
Resident Evil: Retribution,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer"
Eddie the Eagle,"Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley"
Fletch,"Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini"
Solomon Kane,"James Purefoy, Max von Sydow, Rachel Hurd-Wood, Pete Postlethwaite"
Transporter 2,"Jason Statham, Amber Valletta, Kate Nauta, Alessandro Gassmann"
Maid in Manhattan,"Jennifer Lopez, Ralph Fiennes, Natasha Richardson, Stanley Tucci"
How It Ends,"Theo James, Kat Graham, Nancy Sorel, Nicole Ari Parker"
The Long Kiss Goodnight,"Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko"
A Dog's Journey,"Josh Gad, Dennis Quaid, Kathryn Prescott, Marg Helgenberger"
Koroshiya 1,"Tadanobu Asano, Nao Ômori, Shin'ya Tsukamoto, Paulyn Sun"
Side Effects,"Rooney Mara, Channing Tatum, Jude Law, Catherine Zeta-Jones"
Across the Universe,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs"
Hot Summer Nights,"Timothée Chalamet, Maika Monroe, Alex Roe, Emory Cohen"
Meari to majo no hana,"Hana Sugisaki, Ryunosuke Kamiki, Yûki Amami, Fumiyo Kohinata"
End of Days,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak"
The Duff,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney"
Just Mercy,"Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr."
The Player,"Tim Robbins, Greta Scacchi, Fred Ward, Whoopi Goldberg"
Mothering Sunday,"Odessa Young, Josh O'Connor, Colin Firth, Olivia Colman"
Stir of Echoes,"Kevin Bacon, Zachary David Cope, Kathryn Erbe, Illeana Douglas"
The Cowboys,"John Wayne, Roscoe Lee Browne, Bruce Dern, Colleen Dewhurst"
Jigsaw,"Peter Spierig, Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson"
Stoker,"Mia Wasikowska, Nicole Kidman, Matthew Goode, Dermot Mulroney"
Following,"Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan"
Zookeeper,"Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong"
Red State,"Michael Parks, Melissa Leo, John Goodman, Michael Angarano"
Splinter,"Shea Whigham, Jill Wagner, Paulo Costanzo, Charles Baker"
House on Haunted Hill,"Geoffrey Rush, Famke Janssen, Taye Diggs, Peter Gallagher"
Risen,"Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis"
Tropa de Elite,"Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz"
Átame!,"Victoria Abril, Antonio Banderas, Loles León, Julieta Serrano"
Domakinstvo za Pocetnici,"Samson Selim, Mia Mustafi, Dzada Selim, Anamaria Marinca"
Push,"Camilla Belle, Dakota Fanning, Chris Evans, Colin Ford"
Encino Man,"Sean Astin, Brendan Fraser, Pauly Shore, Megan Ward"
Marnie,"Tippi Hedren, Sean Connery, Martin Gabel, Louise Latham"
Self/less,"Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley"
Runaway Bride,"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo"
Wimbledon,"Kirsten Dunst, Paul Bettany, Jon Favreau, Sam Neill"
Dumb and Dumber To,"Peter Farrelly, Jim Carrey, Jeff Daniels, Rob Riggle, Laurie Holden"
La Bamba,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña"
Miss Bala,"Gina Rodriguez, Thomas Dekker, Vivian Chan, Barbarella Pardo"
Paterson,"Adam Driver, Golshifteh Farahani, Nellie, Rizwan Manji"
Piranha 3DD,"Danielle Panabaker, Ving Rhames, David Hasselhoff, Matt Bush"
El orfanato,"Belén Rueda, Fernando Cayo, Roger Príncep, Mabel Rivera"
Snake Eyes: G.I. Joe Origins,"Henry Golding, Andrew Koji, Haruka Abe, Takehiro Hira"
Transcendence,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy"
Overboard,"Eugenio Derbez, Anna Faris, Eva Longoria, John Hannah"
August Rush,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard"
Juice,"Omar Epps, Tupac Shakur, Jermaine Hopkins, Khalil Kain"
The Simpsons Movie,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith"
The Break-Up,"Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams"
Seventh Son,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander"
The To Do List,"Aubrey Plaza, Johnny Simmons, Bill Hader, Alia Shawkat"
Stranger Than Fiction,"Will Ferrell, Emma Thompson, Dustin Hoffman, Queen Latifah"
It Lives Inside,"Megan Suri, Neeru Bajwa, Mohana Krishnan, Betty Gabriel"
Bride of Chucky,"Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile"
Soft & Quiet,"Stefanie Estes, Olivia Luccardi, Dana Millican, Melissa Paulo"
Tayna pechati drakona,"Jason Flemyng, Xingtong Yao, Jackie Chan, Arnold Schwarzenegger"
Tully,"Charlize Theron, Mackenzie Davis, Ron Livingston, Asher Miles Fallica"
Official Secrets,"Keira Knightley, Matt Smith, Matthew Goode, Rhys Ifans"
Hot Shots! Part Deux,"Charlie Sheen, Lloyd Bridges, Valeria Golino, Richard Crenna"
Dolores Claiborne,"Kathy Bates, Jennifer Jason Leigh, Christopher Plummer, Judy Parfitt"
City of Ember,"Saoirse Ronan, Toby Jones, Bill Murray, David Ryall"
Mongol,"Tadanobu Asano, Amadu Mamadakov, Khulan Chuluun, Honglei Sun"
It's Kind of a Funny Story,"Ryan Fleck, Keir Gilchrist, Zach Galifianakis, Emma Roberts, Dana DeVestern"
Mafia Mamma,"Toni Collette, Monica Bellucci, Sophia Nomvete, Alessandro Bressanello"
So I Married an Axe Murderer,"Mike Myers, Nancy Travis, Anthony LaPaglia, Amanda Plummer"
Mary Shelley's Frankenstein,"Robert De Niro, Kenneth Branagh, Helena Bonham Carter, Tom Hulce"
Paper Towns,"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith"
Paint,"Owen Wilson, Elisabeth Henry, Paul Kosopod, Sonia Darmei Lopes"
It Could Happen to You,"Nicolas Cage, Bridget Fonda, Rosie Perez, Wendell Pierce"
In the Line of Fire,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott"
Cha Cha Real Smooth,"Cooper Raiff, Dakota Johnson, Evan Assante, Vanessa Burghardt"
Buried,"Ryan Reynolds, José Luis García-Pérez, Robert Paterson, Stephen Tobolowsky"
Mermaids,"Cher, Bob Hoskins, Winona Ryder, Michael Schoeffling"
The Midnight Sky,"George Clooney, Felicity Jones, David Oyelowo, Caoilinn Springall"
Outlander,"Jim Caviezel, Sophia Myles, Ron Perlman, Jack Huston"
Where Eagles Dare,"Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark"
Amistad,"Djimon Hounsou, Matthew McConaughey, Anthony Hopkins, Morgan Freeman"
Lethal Weapon 3,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo"
Jeremiah Johnson,"Robert Redford, Will Geer, Delle Bolton, Josh Albee"
Captain Underpants: The First Epic Movie,"Kevin Hart, Thomas Middleditch, Ed Helms, Nick Kroll"
Damien: Omen II,"Mike Hodges, William Holden, Lee Grant, Jonathan Scott-Taylor, Robert Foxworth"
A Christmas Story,"Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz"
Thank You for Smoking,"Aaron Eckhart, Cameron Bright, Maria Bello, Joan Lunden"
"Hail, Caesar!","Joel Coen, Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes"
Pink Floyd: The Wall,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David"
Ride Along,"Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo"
The Skeleton Key,"Kate Hudson, Peter Sarsgaard, Joy Bryant, Gena Rowlands"
Starsky & Hutch,"Ben Stiller, Owen Wilson, Snoop Dogg, Vince Vaughn"
Stand and Deliver,"Edward James Olmos, Estelle Harris, Mark Phelan, Virginia Paris"
Bandit,"Josh Duhamel, Elisha Cuthbert, Nestor Carbonell, Mel Gibson"
3 Men and a Baby,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis"
Hoodwinked!,"Todd Edwards, Tony Leech, Anne Hathaway, Glenn Close, Patrick Warburton, Jim Belushi"
The Legend of Billie Jean,"Helen Slater, Christian Slater, Keith Gordon, Richard Bradford"
Airplane II: The Sequel,"Robert Hays, Julie Hagerty, Lloyd Bridges, Raymond Burr"
Bringing Out the Dead,"Nicolas Cage, Patricia Arquette, John Goodman, Ving Rhames"
A Passage to India,"Judy Davis, Victor Banerjee, Peggy Ashcroft, James Fox"
Gamer,"Brian Taylor, Gerard Butler, Michael C. Hall, Ludacris, Amber Valletta"
The Station Agent,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Paul Benjamin"
The Exception,"Lily James, Jai Courtney, Christopher Plummer, Ella Holland"
The Thirteenth Floor,"Craig Bierko, Gretchen Mol, Armin Mueller-Stahl, Vincent D'Onofrio"
Naked Lunch,"Peter Weller, Judy Davis, Ian Holm, Julian Sands"
The Report,"Adam Driver, Annette Bening, Jon Hamm, Ted Levine"
Single White Female,"Bridget Fonda, Jennifer Jason Leigh, Steven Weber, Peter Friedman"
Mending the Line,"Perry Mattfeld, Brian Cox, Patricia Heaton, Sinqua Walls"
Singles,"Bridget Fonda, Campbell Scott, Kyra Sedgwick, Sheila Kelley"
Inside Job,"Matt Damon, Gylfi Zoega, Andri Snær Magnason, Sigridur Benediktsdottir"
Chicken Little,"Zach Braff, Joan Cusack, Garry Marshall, Don Knotts"
Daybreakers,"Peter Spierig, Ethan Hawke, Willem Dafoe, Sam Neill, Harriet Minto-Day"
Trust,"Clive Owen, Catherine Keener, Liana Liberato, Jason Clarke"
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono"
Because of Winn-Dixie,"AnnaSophia Robb, Jeff Daniels, Eva Marie Saint, Cicely Tyson"
Get Shorty,"Gene Hackman, Rene Russo, Danny DeVito, John Travolta"
Those Who Wish Me Dead,"Angelina Jolie, Nicholas Hoult, Finn Little, Jon Bernthal"
Harriet,"Cynthia Erivo, Janelle Monáe, Leslie Odom Jr., Joe Alwyn"
Dark Harvest,"Casey Likes, Emyri Crutchfield, Dustin Ceithamer, Alejandro Akara"
Zoolander 2,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell"
Lady and the Tramp,"Wilfred Jackson, Hamilton Luske, Jack Cutting, Barbara Luddy, Larry Roberts, Peggy Lee, Bill Thompson"
Devil in a Blue Dress,"Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle"
Before I Go to Sleep,"Nicole Kidman, Colin Firth, Mark Strong, Anne-Marie Duff"
Jack Ryan: Shadow Recruit,"Chris Pine, Kevin Costner, Keira Knightley, Kenneth Branagh"
Hardcore Henry,"Sharlto Copley, Tim Roth, Haley Bennett, Danila Kozlovskiy"
Nerve,"Ariel Schulman, Emma Roberts, Dave Franco, Emily Meade, Miles Heizer"
Strangers on a Train,"Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll"
Birth/Rebirth,"Marin Ireland, Judy Reyes, A.J. Lister, Breeda Wool"
Alvin and the Chipmunks: The Squeakquel,"Jason Lee, Zachary Levi, David Cross, Justin Long"
The Long Goodbye,"Elliott Gould, Nina van Pallandt, Sterling Hayden, Mark Rydell"
"Ich seh, Ich seh","Veronika Franz, Lukas Schwarz, Elias Schwarz, Susanne Wuest, Hans Escher"
Urban Legend,"Jared Leto, Alicia Witt, Rebecca Gayheart, Michael Rosenbaum"
Whip It,"Elliot Page, Drew Barrymore, Kristen Wiig, Sarah Habel"
The Grudge,"Tara Westwood, Junko Bailey, David Lawrence Brown, Zoe Fish"
The Lawnmower Man,"Jeff Fahey, Pierce Brosnan, Jenny Wright, Mark Bringelson"
Letters to Juliet,"Amanda Seyfried, Gael García Bernal, Vanessa Redgrave, Marcia DeBonis"
Scanners,"Jennifer O'Neill, Stephen Lack, Patrick McGoohan, Lawrence Dane"
Machete Kills,"Danny Trejo, Alexa PenaVega, Mel Gibson, Jessica Alba"
We Own the Night,"Joaquin Phoenix, Mark Wahlberg, Eva Mendes, Danny Hoch"
Cat People,"Nastassja Kinski, Malcolm McDowell, John Heard, Annette O'Toole"
One Million Years B.C.,"Raquel Welch, John Richardson, Percy Herbert, Robert Brown"
Clerks III,"Brian O'Halloran, Jeff Anderson, Vincent Pereira, Mike Zapcic"
What's Love Got to Do with It,"Angela Bassett, Laurence Fishburne, RaéVen Kelly, Virginia Capers"
Imagine Me & You,"Piper Perabo, Lena Headey, Matthew Goode, Celia Imrie"
Explorers,"Ethan Hawke, River Phoenix, Bobby Fite, Bradley Gregg"
Drugstore Cowboy,"Matt Dillon, Kelly Lynch, James Le Gros, Heather Graham"
Hotel Transylvania 3: Summer Vacation,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James"
Muriel's Wedding,"Toni Collette, Rachel Griffiths, Bill Hunter, Sophie Lee"
The Secret of My Succe$s,"Michael J. Fox, Helen Slater, Richard Jordan, Margaret Whitton"
